product_name,sweetener_used,benefits,drawbacks,cautions
서울우유 프로틴 에너지 제로,"알룰로스, 수크랄로스","유단백질과 무설탕의 결합으로 다이어트 최적화","단백질 특유의 텁텁함과 감미료 맛이 섞임","유당불내증 및 알룰로스 민감도 동시 체크"
더단백 드링크 초코,"알룰로스, 수크랄로스","진한 초코맛 단백질 보충제로 당류 0g","초콜릿 풍미가 인공적으로 느껴질 수 있음","식사 대용 시 식이섬유 추가 섭취 권장"
빙그레 아카페라 심플리 디카페인,"스테비아","디카페인 커피를 쓴맛 없이 단맛으로 즐김","스테비아 특유의 쌉싸름한 풀향이 남음","커피 본연의 향을 중시하는 분께 비추천"
칸타타 콘트라베이스 스위트블랙,"스테비아","대용량 블랙 커피에 은은한 달콤함 추가","스테비아의 뒷맛이 커피 쓴맛과 겹쳐 강해짐","스테비아 알레르기 체질은 섭취 주의"
프렌치카페 로스터리 제로슈거,"스테비아, 에리스리톨","믹스커피의 부드러움을 당류 0g으로 즐김","에리스리톨의 청량감이 커피와 어색할 수 있음","하루 3잔 이상 섭취 시 복부 불편감"
레쓰비 제로,"수크랄로스, 아세설팜칼륨","국민 캔커피의 익숙한 맛을 제로 칼로리로 구현","합성 감미료의 쨍한 단맛이 캔커피 맛을 가림","고카페인 및 감미료 혼합으로 위장 자극 우려"
아이스티 복숭아 톡톡 제로,"알룰로스, 에리스리톨","탄산이 가미된 아이스티를 무설탕으로","탄산과 에리스리톨이 만나 화한 느낌이 배가됨","다량 섭취 시 가스와 팽만감 유발"
롯데 제로 초콜릿칩 쿠키,"말티톨","부드러운 쿠키와 초코칩을 당류 부담 없이 즐김","말티톨의 높은 체내 흡수율로 혈당 상승 가능성","당뇨 환자의 경우 섭취량 엄격히 제한할 것"
롯데 제로 카카오 케이크,"말티톨","촉촉한 케이크 질감을 유지한 무설탕 디저트","말티톨 과다 섭취 시 심한 복통과 설사 유발","하루 1~2개 이내 섭취 권장"
롯데 제로 후르츠 젤리,"말티톨","과일맛 쫄깃한 식감을 설탕 없이 구현","당알코올이 젤리 텍스처에 갇혀 소화가 늦어짐","어린이 및 위장 약자는 특히 주의"
롯데 제로 크런치 초코볼,"말티톨","바삭한 식감과 무설탕 초콜릿의 만남","초콜릿 코팅 속 말티톨이 장 점막 자극 가능","한 번에 한 봉지 이상 섭취 피할 것"
롯데 제로 아이스 초코바,"말티톨, 수크랄로스","진한 아이스크림과 초코 코팅을 무설탕으로","아이스크림 특성상 섭취량이 많아져 복통 유발 쉬움","찬 음식과 당알코올 조합으로 장 자극 심함"
죠스바 제로,"알룰로스, 수크랄로스","원조 죠스바의 과일 맛을 그대로 제로 칼로리화","알룰로스가 차가운 온도에서 단맛이 덜 느껴짐","과량 섭취 시 소화 불량 및 복부 팽만"
스크류바 제로,"알룰로스, 수크랄로스","딸기와 사과 맛의 조화를 당류 0g으로","기존 제품보다 덜 쫀득한 얼음 식감","유아 및 어린이가 여러 개 섭취 시 설사 우려"
수박바 제로,"알룰로스, 수크랄로스","수박 모양과 맛을 살린 다이어트용 아이스크림","씨앗 부분의 초콜릿 코팅 맛이 다소 변함","알룰로스 민감자는 1개만 섭취할 것"
폴라포 포도 제로,"알룰로스, 수크랄로스","얼음 알갱이와 포도맛 시럽의 시원함","시럽의 농도가 묽어 얼음과 겉도는 느낌","찬 얼음과 감미료 조합으로 인한 배탈 주의"
더위사냥 제로,"알룰로스, 스테비아","진한 커피맛 아이스크림을 칼로리 부담 없이","스테비아 특유의 쌉싸름함이 커피 쓴맛과 결합됨","임산부 및 카페인 민감자는 피할 것"
메로나 제로,"알룰로스, 스테비아","부드러운 멜론 우유 맛을 무설탕으로 구현","스테비아의 화한 끝맛이 멜론 향을 방해할 수 있음","유제품과 스테비아 조합으로 장 민감자 주의"
비비빅 제로,"알룰로스, 스테비아","팥 본연의 고소함을 살린 제로 아이스크림","팥 껍질과 감미료 단맛이 입안에 남음","당알코올류에 비해 단맛이 덜 진할 수 있음"
투게더 라이트 바닐라,"에리스리톨, 수크랄로스","바닐라 아이스크림의 풍미를 저칼로리로 즐김","에리스리톨 결절 현상으로 식감이 덜 부드러움","다량(파인트 이상) 섭취 시 심한 설사 유발"
라라스윗 초콜릿 아이스크림,"에리스리톨, 스테비아","건강한 원재료와 매우 낮은 칼로리","아이스크림이 다소 딱딱하여 실온 해동 필요","한 통 다 비울 시 에리스리톨 과다 섭취 위험"
라라스윗 바닐라빈 파인트,"에리스리톨, 스테비아","진짜 바닐라빈이 들어간 고급스러운 향","유지방이 적고 감미료를 써서 셔벗 같은 식감","에리스리톨 특유의 화한 냉감 발생"
라라스윗 모나카 생우유,"에리스리톨, 스테비아","바삭한 모나카 과자와 부드러운 우유 아이스크림","과자 부분과 아이스크림의 단맛 밸런스가 다름","다이어트 중에도 1~2개 내외로 제한 권장"
스키니피그 바닐라 아이스크림,"에리스리톨, 스테비아, 알룰로스","저칼로리에 부드러운 젤라또 식감 구현","세 가지 감미료 혼합으로 민감한 장에 부담","식후 디저트로 소량 섭취할 것"
스키니피그 초콜릿 아이스크림,"에리스리톨, 스테비아, 알룰로스","진한 초코 풍미와 다이어트 친화적 성분","초콜릿 분말의 텁텁함이 감미료 뒷맛과 섞임","당류는 없으나 유제품 칼로리는 존재함"
널담 마카롱 제로,"말티톨, 알룰로스","쫀득한 꼬끄와 무설탕 크림의 조합","꼬끄의 질감을 내기 위해 말티톨이 다량 사용됨","당뇨 환자는 혈당 모니터링 필수"
널담 브라우니 제로,"알룰로스, 에리스리톨","꾸덕한 브라우니 식감을 제로 당류로 유지","알룰로스와 에리스리톨 조합으로 복부 가스 유발","식사 대용으로 과다 섭취 금지"
프로틴 브라우니 제로,"알룰로스","단백질 15g과 무설탕을 동시에 충족","단백질 파우더의 퍽퍽함을 덮기 위해 단맛이 강함","충분한 수분과 함께 섭취할 것"
퀘스트 뉴트리션 프로틴바 더블 초콜릿,"에리스리톨, 수크랄로스","근성장을 위한 고단백 무설탕 간식","식감이 찐득하고 수크랄로스 단맛이 강렬함","에리스리톨 함량 확인 및 과다 섭취 주의"
커클랜드 프로틴바 초콜릿 브라우니,"에리스리톨, 스테비아","가성비 좋은 해외 직구 무설탕 프로틴바","스테비아 쓴맛이 뒤에 남고 턱이 아플 수 있음","식이섬유 과다 함유로 장 팽만감 극대화"
베어벨스 프로틴바 카라멜 캐슈,"말티톨, 수크랄로스","속세의 맛에 가까운 부드러운 식감의 프로틴바","말티톨 사용으로 인해 다이어트 시 체중 감량 정체 우려","당뇨 환자 섭취 지양"
앳킨스 초콜릿 칩 쿠키,"말티톨, 수크랄로스","키토제닉 다이어트용 저탄수 무설탕 쿠키","말티톨의 혈당 지수가 설탕의 절반 수준임","완벽한 무설탕 효과를 기대하기 어려움"
마이프로틴 육각 프로틴바,"말티톨, 수크랄로스","여섯 겹의 바삭하고 쫀득한 식감","당알코올이 높아 한 번에 여러 개 섭취 시 복통","간식용으로 1개만 섭취"
오리온 닥터유 단백질바 제로,"알룰로스","국내 입맛에 맞춘 바삭한 견과류 베이스 바","견과류의 씁쓸함과 알룰로스 단맛이 따로 놀 수 있음","알룰로스로 인한 가스 참 주의"
해태 칼로리바란스 제로,"말티톨, 알룰로스","체중 조절용 조제식품의 무설탕 버전","영양 밸런스는 좋으나 당알코올로 속이 더부룩함","물 한 컵 이상과 함께 섭취 필수"
청정원 츄앤리얼 제로구미,"말티톨","진짜 과즙을 넣은 무설탕 과일 젤리","말티톨이 젤리의 주성분이라 복통 유발 가능성 매우 높음","하루 한 봉지 절대 엄수"
하리보 제로슈거 젤리,"말티톨, 소르비톨","전 세계적인 곰젤리의 무설탕 버전","말티톨과 소르비톨의 강력한 설사 유발 효과","아이들에게 절대 과량 급여 금지"
리콜라 레몬민트 캔디,"자일리톨, 수크랄로스","목을 상쾌하게 해주는 무설탕 허브 캔디","허브향과 감미료가 섞여 독특한 잔향이 남음","단시간 내 여러 알 섭취 시 설사 우려"
자일리톨 껌,"자일리톨, 아스파탐","충치균 억제와 식후 입냄새 제거","아스파탐 함유로 체질량에 따른 주의 필요","껌을 삼키지 않도록 어린이 주의"
롯데 후라보노 제로,"자일리톨, 소르비톨","구취 제거에 탁월한 시원한 껌","소르비톨의 강한 장 점막 자극 효과","빈속에 오래 씹을 경우 위산 과다 분비"
호올스 제로,"자일리톨, 수크랄로스","강력한 멘톨과 무설탕의 결합으로 기관지 상쾌함","단맛보다 매운맛이 강해 감미료의 효과가 미미함","구강 점막이 약한 사람은 자극적일 수 있음"
이클립스 캔디,"소르비톨, 수크랄로스, 아세설팜칼륨","휴대가 간편한 강력한 쿨링 무설탕 캔디","소르비톨이 첫 번째 원료로 배탈 유발 가능성 최고조","하루 한 통 다 비우는 것 절대 금지"
목캔디 제로,"자일리톨, 알룰로스","모과 추출물과 무설탕으로 목 보호","알룰로스가 캔디 형태로 굳히기 어려워 식감이 다름","다량 섭취 시 장내 가스 발생"
곰곰 제로 콜라,"수크랄로스, 아세설팜칼륨","가성비가 매우 뛰어난 온라인 전용 제로 탄산","탄산이 다소 빨리 빠지고 단맛이 인공적임","장기적인 박스 단위 소비 시 섭취량 조절 필요"
노브랜드 스파클링 제로 레몬,"수크랄로스, 아세설팜칼륨","저렴한 가격의 상큼한 레몬맛 스파클링","레몬향과 감미료의 조화가 다소 어색할 수 있음","공복에 차갑게 다량 섭취 시 위경련 우려"
피코크 제로 사이다,"에리스리톨, 수크랄로스","깔끔하고 시원한 이마트 PB 제로 사이다","에리스리톨 특유의 청량감이 호불호 영역","위장이 예민한 경우 따뜻하게 섭취하거나 피할 것"
탐앤탐스 제로 슈거 시럽,"알룰로스","집에서도 카페처럼 즐기는 무설탕 액상 시럽","알룰로스 특유의 묽은 질감으로 커피 맛이 옅어짐","사용량이 많아지면 배앓이 유발"
마이노멀 알룰로스,"알룰로스, 나한과 추출물, 스테비아","설탕과 거의 흡사한 훌륭한 대체감미료 믹스","다양한 감미료 혼합으로 다소 높은 가격대","요리에 과량 사용 시 소화 불량 증상 체크"
백설 스위트리 알룰로스,"알룰로스","대기업의 안정적인 품질로 요리 활용도 높음","열에 강하나 졸임 요리 시 설탕처럼 끈적이지 않음","장이 약한 가족 구성원이 있을 경우 주의"
큐원 트루스위트 알룰로스,"알룰로스","볶음, 무침 등 일상 요리에 설탕 1:1 대체 가능","다량 섭취 시 알룰로스로 인한 가스 팽창","하루 권장량 섭취를 초과하지 않도록 계량 필수"
하인즈 노슈가에디드 케첩,"수크랄로스","토마토 본연의 산미를 강조하고 당류 제거","일반 케첩보다 단맛이 적고 신맛이 강함","감미료 자체보다는 나트륨 함량 동시 확인 요망"
오뚜기 칼로리다운 하프마요네즈,"에리스리톨","설탕 대신 에리스리톨로 칼로리와 당류 모두 낮춤","기존 마요네즈의 고소하고 진한 맛이 부족함","다이어트 용도라도 과다 섭취는 지방 과다 우려"
마이노멀 무설탕 딸기잼,"알룰로스, 스테비아","딸기 과육 듬뿍 들어간 건강한 무설탕 잼","스테비아 쓴맛이 끝에 살짝 남으며 유통기한이 짧음","개봉 후 반드시 냉장 보관하고 빨리 소진할 것"
